Ambit_InchiKey,Original_Entry_ID,Activity_Flag,Gene_Symbol,Ortholog_Group,SMILES
DFOXOYMLWKTYCG-UHFFFAOYNA-N,CHEMBL1419522,N,ALDH1A1,143,S1C=2N(C(=O)C(C(=O)N3CCN(C4=CC=C(N(=O)=O)C=C4)CC3)=CN2)CC1
DFOXOYMLWKTYCG-UHFFFAOYNA-N,CHEMBL1419522,N,MAPT,2556,S1C=2N(C(=O)C(C(=O)N3CCN(C4=CC=C(N(=O)=O)C=C4)CC3)=CN2)CC1
DFOXOYMLWKTYCG-UHFFFAOYNA-N,CHEMBL1419522,N,POLB,3321,S1C=2N(C(=O)C(C(=O)N3CCN(C4=CC=C(N(=O)=O)C=C4)CC3)=CN2)CC1
DFOZPRDJHFPHHA-FVJUNEQCNA-N,CHEMBL221037,A,JAK2,2291,N1(C=2C=C(N[C@H](C=3C=CC=CC3)C)N=C(N4C=NC=5C4=CN=CC5)N2)CC[C@H](C1)O
DFPDCVOFPAYSKG-NDKGDYFDNA-N,CHEMBL1612406,A,GLP1R,1701,S1C(N2C=CC=C2)=C(C(=C1C)C)C(=O)O
DFPDCVOFPAYSKG-NDKGDYFDNA-N,CHEMBL1612406,N,BAZ2B,8576,S1C(N2C=CC=C2)=C(C(=C1C)C)C(=O)O
DFPDCVOFPAYSKG-NDKGDYFDNA-N,CHEMBL1612406,N,POLB,3321,S1C(N2C=CC=C2)=C(C(=C1C)C)C(=O)O
DFPDDIHSVKJRLV-NDKGDYFDNA-N,2062299,N,RAPGEF4,6936,S(CC(=O)C1=CC(N(=O)=O)=C(OC)C=C1)C=2NC(=NN2)C
DFPDDIHSVKJRLV-NDKGDYFDNA-N,2062299,N,SENP8,13580,S(CC(=O)C1=CC(N(=O)=O)=C(OC)C=C1)C=2NC(=NN2)C
DFPDDIHSVKJRLV-NDKGDYFDNA-N,2062299,N,TAAR1,13966,S(CC(=O)C1=CC(N(=O)=O)=C(OC)C=C1)C=2NC(=NN2)C
DFPDDIHSVKJRLV-NDKGDYFDNA-N,2062299,N,ADRB2,99,S(CC(=O)C1=CC(N(=O)=O)=C(OC)C=C1)C=2NC(=NN2)C
DFPDDIHSVKJRLV-NDKGDYFDNA-N,2062299,N,DRD2,1171,S(CC(=O)C1=CC(N(=O)=O)=C(OC)C=C1)C=2NC(=NN2)C
DFPDDIHSVKJRLV-NDKGDYFDNA-N,2062299,N,F11,1407,S(CC(=O)C1=CC(N(=O)=O)=C(OC)C=C1)C=2NC(=NN2)C
DFPDDIHSVKJRLV-NDKGDYFDNA-N,2062299,N,ATG4B,7420,S(CC(=O)C1=CC(N(=O)=O)=C(OC)C=C1)C=2NC(=NN2)C
DFPDDIHSVKJRLV-NDKGDYFDNA-N,2062299,N,NR5A2,1554,S(CC(=O)C1=CC(N(=O)=O)=C(OC)C=C1)C=2NC(=NN2)C
DFPDDIHSVKJRLV-NDKGDYFDNA-N,2062299,N,KAT2A,1644,S(CC(=O)C1=CC(N(=O)=O)=C(OC)C=C1)C=2NC(=NN2)C
DFPDDIHSVKJRLV-NDKGDYFDNA-N,2062299,N,GLP1R,1701,S(CC(=O)C1=CC(N(=O)=O)=C(OC)C=C1)C=2NC(=NN2)C
DFPDDIHSVKJRLV-NDKGDYFDNA-N,2062299,N,GLS,1705,S(CC(=O)C1=CC(N(=O)=O)=C(OC)C=C1)C=2NC(=NN2)C
DFPDDIHSVKJRLV-NDKGDYFDNA-N,2062299,N,GSK3A,1847,S(CC(=O)C1=CC(N(=O)=O)=C(OC)C=C1)C=2NC(=NN2)C
DFPDDIHSVKJRLV-NDKGDYFDNA-N,2062299,N,BAZ2B,8576,S(CC(=O)C1=CC(N(=O)=O)=C(OC)C=C1)C=2NC(=NN2)C
DFPDDIHSVKJRLV-NDKGDYFDNA-N,2062299,N,HSP90AA1,2085,S(CC(=O)C1=CC(N(=O)=O)=C(OC)C=C1)C=2NC(=NN2)C
DFPDDIHSVKJRLV-NDKGDYFDNA-N,2062299,N,JAK2,2291,S(CC(=O)C1=CC(N(=O)=O)=C(OC)C=C1)C=2NC(=NN2)C
DFPDDIHSVKJRLV-NDKGDYFDNA-N,2062299,N,MAPT,2556,S(CC(=O)C1=CC(N(=O)=O)=C(OC)C=C1)C=2NC(=NN2)C
DFPDDIHSVKJRLV-NDKGDYFDNA-N,2062299,N,KMT2A,2657,S(CC(=O)C1=CC(N(=O)=O)=C(OC)C=C1)C=2NC(=NN2)C
DFPDDIHSVKJRLV-NDKGDYFDNA-N,2062299,N,MLLT3,2660,S(CC(=O)C1=CC(N(=O)=O)=C(OC)C=C1)C=2NC(=NN2)C
DFPDDIHSVKJRLV-NDKGDYFDNA-N,2062299,N,ATM,305,S(CC(=O)C1=CC(N(=O)=O)=C(OC)C=C1)C=2NC(=NN2)C
DFPDDIHSVKJRLV-NDKGDYFDNA-N,2062299,N,FURIN,3060,S(CC(=O)C1=CC(N(=O)=O)=C(OC)C=C1)C=2NC(=NN2)C
DFPDDIHSVKJRLV-NDKGDYFDNA-N,2062299,N,ACP1,36,S(CC(=O)C1=CC(N(=O)=O)=C(OC)C=C1)C=2NC(=NN2)C
